Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
FXRNORM,Norway Total Foreign Exchange Reserves Excluding Gold,International Liquidity,United States Dollar,Norway,,,,,,,National Currency,Millions,Stock,None,Monthly From Jan 1957 To Jan 2020<BR>,Source: World Bank,
Date,Ticker,Open,High,Low,Close,Percent_Gdp
03/31/1989,FXRNORM,,,,13224,1.99
04/30/1989,FXRNORM,,,,13544.5,2.04
05/31/1989,FXRNORM,,,,13184.7,1.98
06/30/1989,FXRNORM,,,,12981.5,1.95
07/31/1989,FXRNORM,,,,13447.9,2.02
08/31/1989,FXRNORM,,,,12948.9,1.95
09/30/1989,FXRNORM,,,,13715.1,2.06
10/31/1989,FXRNORM,,,,13501.5,2.03
11/30/1989,FXRNORM,,,,13201,1.99
12/31/1989,FXRNORM,,,,13784.8,1.94
01/31/1990,FXRNORM,,,,13295.23,1.87
02/28/1990,FXRNORM,,,,12831.02,1.81
03/31/1990,FXRNORM,,,,13652.48,1.92
04/30/1990,FXRNORM,,,,11642.48,1.64
05/31/1990,FXRNORM,,,,12432.27,1.75
06/30/1990,FXRNORM,,,,13249.42,1.87
07/31/1990,FXRNORM,,,,13254.33,1.87
08/31/1990,FXRNORM,,,,14260.73,2.01
09/30/1990,FXRNORM,,,,14553.83,2.05
10/31/1990,FXRNORM,,,,14908.98,2.1
11/30/1990,FXRNORM,,,,15501.09,2.18
12/31/1990,FXRNORM,,,,15368.97,2.05
01/31/1991,FXRNORM,,,,15431.62,2.06
02/28/1991,FXRNORM,,,,15156.97,2.02
03/31/1991,FXRNORM,,,,14166.1,1.89
04/30/1991,FXRNORM,,,,14105.96,1.88
05/31/1991,FXRNORM,,,,13890.85,1.86
06/30/1991,FXRNORM,,,,13922.22,1.86
07/31/1991,FXRNORM,,,,14271.15,1.91
08/31/1991,FXRNORM,,,,13706.61,1.83
09/30/1991,FXRNORM,,,,13606.17,1.82
10/31/1991,FXRNORM,,,,13081.42,1.75
11/30/1991,FXRNORM,,,,12666.53,1.69
12/31/1991,FXRNORM,,,,13263.65,1.68
01/31/1992,FXRNORM,,,,13094.15,1.66
02/28/1992,FXRNORM,,,,13640.89,1.73
02/29/1992,FXRNORM,,,,13673.53,1.73
03/31/1992,FXRNORM,,,,13129.03,1.66
04/30/1992,FXRNORM,,,,14264.04,1.81
05/31/1992,FXRNORM,,,,14986.36,1.9
06/30/1992,FXRNORM,,,,16113.25,2.04
07/31/1992,FXRNORM,,,,16656.15,2.11
08/31/1992,FXRNORM,,,,16827.35,2.13
09/30/1992,FXRNORM,,,,14987.36,1.9
10/31/1992,FXRNORM,,,,16658.95,2.11
11/30/1992,FXRNORM,,,,13007.44,1.65
12/31/1992,FXRNORM,,,,11968.96,1.47
01/31/1993,FXRNORM,,,,14561.25,1.79
02/28/1993,FXRNORM,,,,14147.96,1.74
03/31/1993,FXRNORM,,,,15837.59,1.95
04/30/1993,FXRNORM,,,,17747.05,2.18
05/31/1993,FXRNORM,,,,19724.27,2.43
06/30/1993,FXRNORM,,,,19717.15,2.43
07/31/1993,FXRNORM,,,,19572.61,2.41
08/31/1993,FXRNORM,,,,19793.73,2.44
09/30/1993,FXRNORM,,,,19911.81,2.45
10/31/1993,FXRNORM,,,,19885.65,2.45
11/30/1993,FXRNORM,,,,19984.89,2.46
12/31/1993,FXRNORM,,,,19669.34,2.3
01/31/1994,FXRNORM,,,,19920.94,2.33
02/28/1994,FXRNORM,,,,19849.77,2.32
03/31/1994,FXRNORM,,,,20087.43,2.35
04/30/1994,FXRNORM,,,,20155.8,2.36
05/31/1994,FXRNORM,,,,20146.37,2.36
06/30/1994,FXRNORM,,,,18770.99,2.2
07/31/1994,FXRNORM,,,,19918.03,2.33
08/31/1994,FXRNORM,,,,20029.09,2.34
09/30/1994,FXRNORM,,,,20686.06,2.42
10/31/1994,FXRNORM,,,,19649.19,2.3
11/30/1994,FXRNORM,,,,20173.84,2.36
12/31/1994,FXRNORM,,,,19071.01,2.12
01/31/1995,FXRNORM,,,,20610.38,2.3
02/28/1995,FXRNORM,,,,21446.28,2.39
03/31/1995,FXRNORM,,,,23997.86,2.67
04/30/1995,FXRNORM,,,,22757,2.53
05/31/1995,FXRNORM,,,,21542.51,2.4
06/30/1995,FXRNORM,,,,22667.39,2.52
07/31/1995,FXRNORM,,,,22806.52,2.54
08/31/1995,FXRNORM,,,,21670.21,2.41
09/30/1995,FXRNORM,,,,22972.82,2.56
10/31/1995,FXRNORM,,,,23458.28,2.61
11/30/1995,FXRNORM,,,,23388.41,2.6
12/31/1995,FXRNORM,,,,22571.66,2.34
01/31/1996,FXRNORM,,,,22072.07,2.29
02/28/1996,FXRNORM,,,,22337.62,2.32
02/29/1996,FXRNORM,,,,22391.03,2.32
03/31/1996,FXRNORM,,,,22902.05,2.38
04/30/1996,FXRNORM,,,,23701.36,2.46
05/31/1996,FXRNORM,,,,24453.75,2.54
06/30/1996,FXRNORM,,,,25661.23,2.66
07/31/1996,FXRNORM,,,,25290.35,2.62
08/30/1996,FXRNORM,,,,25412.01,2.64
08/31/1996,FXRNORM,,,,25472.78,2.64
09/30/1996,FXRNORM,,,,26801.56,2.78
10/31/1996,FXRNORM,,,,30655.05,3.18
11/30/1996,FXRNORM,,,,32119.55,3.33
12/31/1996,FXRNORM,,,,26580.13,2.53
01/31/1997,FXRNORM,,,,30453.77,2.89
02/28/1997,FXRNORM,,,,27648.68,2.63
03/31/1997,FXRNORM,,,,27901.58,2.65
04/30/1997,FXRNORM,,,,27150.59,2.58
05/31/1997,FXRNORM,,,,27651.98,2.63
06/30/1997,FXRNORM,,,,28520.26,2.71
07/31/1997,FXRNORM,,,,28165.51,2.68
08/31/1997,FXRNORM,,,,28707.5,2.73
09/30/1997,FXRNORM,,,,29880.5,2.84
10/31/1997,FXRNORM,,,,31240.65,2.97
11/30/1997,FXRNORM,,,,31405.84,2.98
12/31/1997,FXRNORM,,,,23456.27,2.06
01/31/1998,FXRNORM,,,,23825.35,2.09
02/28/1998,FXRNORM,,,,24349.7,2.14
03/31/1998,FXRNORM,,,,24826.44,2.18
04/30/1998,FXRNORM,,,,25850.18,2.27
05/31/1998,FXRNORM,,,,24814.01,2.18
06/30/1998,FXRNORM,,,,23853.52,2.09
07/31/1998,FXRNORM,,,,23612.65,2.07
